6.991121860215900874e-01,2.422563336507451981e-01,5.121212392040149636e-02,5.234048470421964663e-04,1.316052025339581262e-08,1.761088525198279971e-21,2.314359675363433978e-27,9.312359120482034618e-24,8.294229529257876704e-15,1.190436153318276706e-03,5.138208867534953608e-03,5.555834207625518720e-04,1.164693152000579818e-05,6.294704996939231606e-08,7.950601819703087467e-11
2.422563336507451981e-01,4.797282605440034708e-01,2.595464411365294155e-01,4.001047287327107183e-03,1.230673597621230606e-07,1.826362275877062054e-20,2.250685534667434577e-26,7.614694594116676798e-23,4.970710274735421392e-14,4.265093713080881851e-03,9.451650291350973537e-03,7.393250307750387539e-04,1.167526904103455183e-05,4.995733126518886161e-08,5.240578543509857229e-11
5.121212392040149636e-02,2.595464411365294155e-01,5.881660876607081034e-01,7.553863148775033509e-02,3.670112170969841412e-06,1.120525588973191314e-19,6.639564654052031815e-26,2.023162252556420228e-22,1.220455545888733568e-13,9.138957675208782619e-03,1.540507056992479473e-02,9.769538073581690574e-04,1.202405322807007244e-05,3.954419710746173977e-08,3.240051754622538984e-11
5.234048470421964663e-04,4.001047287327107183e-03,7.553863148775033509e-02,8.367355429023138891e-01,8.196638900818349616e-02,9.890399353250987043e-14,2.432717917049473494e-22,1.729986393370995278e-23,6.266420807540119122e-15,4.628183126972776709e-04,7.286820833515114844e-04,4.300736744448841375e-05,4.753513947189913764e-07,1.351459320356171228e-09,9.295714564905581765e-13
1.316052025339581262e-08,1.230673597621230606e-07,3.670112170969841412e-06,8.196638900818349616e-02,8.598871885060159759e-01,5.814252898449455420e-02,2.668576839628819954e-09,5.562541678489158494e-12,3.386606317412224000e-11,3.398552388073859270e-08,4.768356290273456645e-08,2.754815074839936299e-09,2.926785031176656274e-11,7.815829538502048042e-14,4.924576218897458844e-17
1.761088525198279971e-21,1.826362275877062054e-20,1.120525588973191314e-19,9.890399353250987043e-14,5.814252898449455420e-02,8.617900156794068289e-01,7.348336601669071266e-02,1.366143522842169300e-03,1.276145941068110171e-03,3.941799855187084513e-03,2.136581233000340807e-13,6.125260710791807272e-20,1.250184635357311706e-23,3.252775624165634986e-26,1.967346336591586385e-29
2.314359675363433978e-27,2.250685534667434577e-26,6.639564654052031815e-26,2.432717917049473494e-22,2.668576839628819954e-09,7.348336601669071266e-02,7.438805992426351654e-01,1.552526314434903021e-01,2.070521553112898705e-02,6.678185097468828692e-03,1.185894226936087334e-14,8.825726719357990582e-22,5.776036546672091677e-29,9.238758340567253093e-32,5.978428271481433612e-35
9.312359120482034618e-24,7.614694594116676798e-23,2.023162252556420228e-22,1.729986393370995278e-23,5.562541678489158494e-12,1.366143522842169300e-03,1.552526314434903021e-01,5.615872442438039069e-01,2.541918100839281602e-01,2.760217070035558135e-02,1.651542347062769093e-14,1.263311284160582941e-21,2.264263212134165359e-25,7.038232553414215774e-28,5.892367250024608985e-31
8.294229529257876704e-15,4.970710274735421392e-14,1.220455545888733568e-13,6.266420807540119122e-15,3.386606317412224000e-11,1.276145941068110171e-03,2.070521553112898705e-02,2.541918100839281602e-01,5.477003835556673028e-01,1.761264448534042293e-01,7.287358447001623431e-13,2.255357987641665137e-14,3.344900673027988506e-16,1.690396861645200267e-18,3.687809986141646381e-21
1.190436153318276706e-03,4.265093713080881851e-03,9.138957675208782619e-03,4.628183126972776709e-04,3.398552388073859270e-08,3.941799855187084513e-03,6.678185097468828692e-03,2.760217070035558135e-02,1.761264448534042293e-01,7.165792555510548389e-01,4.839418093811451160e-02,5.409264125475119443e-03,2.065515959187668284e-04,4.746851008492043532e-06,6.059218496575592730e-08
5.138208867534953608e-03,9.451650291350973537e-03,1.540507056992479473e-02,7.286820833515114844e-04,4.768356290273456645e-08,2.136581233000340807e-13,1.185894226936087334e-14,1.651542347062769093e-14,7.287358447001623431e-13,4.839418093811451160e-02,5.544357096925930373e-01,2.877564674341082651e-01,6.786410467052923778e-02,9.988044906673867671e-03,8.378328612898842996e-04
5.555834207625518720e-04,7.393250307750387539e-04,9.769538073581690574e-04,4.300736744448841375e-05,2.754815074839936299e-09,6.125260710791807272e-20,8.825726719357990582e-22,1.263311284160582941e-21,2.255357987641665137e-14,5.409264125475119443e-03,2.877564674341082651e-01,3.760568397509938543e-01,2.280754073010589078e-01,8.589185511828639763e-02,1.449529388889587815e-02
1.164693152000579818e-05,1.167526904103455183e-05,1.202405322807007244e-05,4.753513947189913764e-07,2.926785031176656274e-11,1.250184635357311706e-23,5.776036546672091677e-29,2.264263212134165359e-25,3.344900673027988506e-16,2.065515959187668284e-04,6.786410467052923778e-02,2.280754073010589078e-01,3.538386778360981255e-01,2.685183628232473141e-01,8.146107413869342617e-02
6.294704996939231606e-08,4.995733126518886161e-08,3.954419710746173977e-08,1.351459320356171228e-09,7.815829538502048042e-14,3.252775624165634986e-26,9.238758340567253093e-32,7.038232553414215774e-28,1.690396861645200267e-18,4.746851008492043532e-06,9.988044906673867671e-03,8.589185511828639763e-02,2.685183628232473141e-01,3.668521807876451990e-01,2.687446557130231950e-01
7.950601819703087467e-11,5.240578543509857229e-11,3.240051754622538984e-11,9.295714564905581765e-13,4.924576218897458844e-17,1.967346336591586385e-29,5.978428271481433612e-35,5.892367250024608985e-31,3.687809986141646381e-21,6.059218496575592730e-08,8.378328612898842996e-04,1.449529388889587815e-02,8.146107413869342617e-02,2.687446557130231950e-01,6.344610826406661408e-01
