ze
-113.589923375173
-110.962890941612
-106.631615220806
-98.3595973290458
-83.4922848796084
-44.8051871178702
-22.0563487626346
-21.0554426097057
-32.1949807027456
-48.1091161047675
-39.3958027634628
-31.9390232066394
-22.756111793321
-12.1399250456135
0
