time,lambdas,0.0,0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.85,0.9,0.95,1.0
250.2,0.1,13.471000720533997,6.960680198417274,0.0,-7.183383357765666,-14.484109123749386,-29.256900197281198,-44.14112588170935,-59.089797214395546,-74.09111705207329,-89.14292155074827,-104.24521071042662,-111.81532163448144,-119.39804491744532,-126.9933184955731,-134.60104507975865
250.4,0.1,15.984770158988237,8.354012894151914,0.0,-8.81890219578333,-17.951295064352394,-36.81611474103737,-56.1733783436105,-75.8295627360744,-95.68623650027753,-115.68911734514208,-135.80608980003925,-145.90072228658065,-156.0168825047638,-166.15305073159868,-176.30794543467275
250.6,0.1,23.065583956638147,11.538075783421581,0.0,-11.550183245395598,-23.112579628869458,-46.272357895186715,-69.47536942902178,-92.71833156162324,-115.99899322427862,-139.31581624260576,-162.66767005006355,-174.35643660018843,-186.053623690505,-197.75912396751914,-209.47284014211561
250.8,0.1,17.914071915459456,9.103496325556659,0.0,-9.322671915974023,-18.81252342536712,-38.15498230926282,-57.83423931733754,-77.74303656082122,-97.8186661762473,-118.02265199807829,-138.3303396239773,-148.51769534176088,-158.72523687243054,-168.9516591999967,-179.1958518866912
251.0,0.1,19.432904208053408,9.92913196896363,0.0,-10.231410910540044,-20.68496640674942,-42.05810062214173,-63.85074044683934,-85.92073978181793,-108.18685215599102,-130.5996547015795,-153.12748820032746,-164.4276216595284,-175.74911678792677,-187.09028947748118,-198.4497072299259
251.2,0.1,15.999080045121646,8.341846723230756,0.0,-8.800846678923502,-17.92229620003682,-36.801370408706084,-56.22080175244974,-75.97762837421352,-95.96352388242535,-116.11632221331068,-136.3980806140472,-146.5793255692926,-156.78434764749926,-167.01128158159042,-177.25856235882102
251.4,0.1,17.7021376541305,9.070644477011403,0.0,-9.38728027187833,-19.007093257991556,-38.72901657291303,-58.876517679509845,-79.29843110731673,-99.9105262934194,-120.6630985670961,-141.52525863597845,-151.9908561756217,-162.47687268653755,-172.98176496215282,-183.50422630908204
251.6,0.1,18.250043082202808,9.183637391062838,0.0,-9.267577764048594,-18.596613729723263,-37.38223671622592,-56.281790282510876,-75.25789863642689,-94.29124150268561,-113.37151462263856,-132.49301148677537,-142.06813019132184,-151.6524309749555,-161.24569074368705,-170.8477249836799
251.8,0.1,12.88305411418217,6.733957992397954,0.0,-7.101472636898952,-14.444742259641146,-29.58056596903109,-45.074680308871685,-60.782666305248135,-76.63543023880914,-92.59701539648624,-108.64711519271023,-116.70127801823557,-124.7732833310163,-132.86219849752467,-140.96723514048705
252.0,0.1,17.747259672299098,9.13490225664102,0.0,-9.412724728893929,-18.98321549112916,-38.37421493122831,-57.93550050666569,-77.58718947129768,-97.29954322809115,-117.06051470141216,-136.86469595868007,-146.7820492357633,-156.70923542253107,-166.64604148938196,-176.59227956768757
252.2,0.1,16.616614282644235,8.673112787335757,0.0,-9.146467918920004,-18.614479700558714,-38.16894665131858,-58.23001309344269,-78.59400092074851,-99.15557789788588,-119.85609546561716,-140.66087341109554,-151.0952612752718,-161.54826993958605,-172.01832432689613,-182.50411606642052
252.4,0.1,18.703378463345278,9.56248118466134,0.0,-9.845725008686994,-19.890765210200875,-40.38225377071099,-61.2230068806378,-82.28969549671845,-103.51570844929856,-124.86226260893412,-146.30528227574024,-157.05780552899444,-167.82895461458062,-178.61749161244833,-189.42236647117255
252.6,0.1,24.520498981483094,12.359866829593939,0.0,-12.509997345216117,-25.136218273890112,-50.64706000689033,-76.40537000988012,-102.33786945439294,-128.39946819282315,-154.5609442668658,-180.80255134202358,-193.94891507710878,-207.1104609455181,-220.28604496151226,-233.4746791374114
252.8,0.1,11.72978565169937,6.0381630530249,0.0,-6.268859015957057,-12.69543206591043,-25.849325642613547,-39.24481827214657,-52.78264319193332,-66.41516564093217,-80.11875778464821,-93.88137925704046,-100.78271645326986,-107.6967045885734,-114.62297966748737,-121.56125988706913
253.0,0.1,19.477950743290837,9.74789577657665,0.0,-9.7681570723939,-19.556275186282434,-39.18763575916106,-58.88455745025987,-78.63986267163465,-98.44891006178815,-118.30866017474041,-138.21699613365115,-148.18885982800168,-158.17227744284116,-168.16708291572527,-178.17310850680767
253.2,0.1,17.860578001652236,9.171987858863723,0.0,-9.511702978934478,-19.270642746874085,-39.30330915592579,-59.79872115139666,-80.60246414203499,-101.62751972870994,-122.82115721390578,-144.1493958599169,-154.85649348588186,-165.58918653471864,-176.3456080619606,-187.12414944249448
253.4,0.1,19.730491466177476,9.955524156098068,0.0,-10.085619824696508,-20.268101022596365,-40.84031606066982,-61.60547720967553,-82.50565886911242,-103.5082792515848,-124.5937362788647,-145.7494544948122,-156.35088105093624,-166.96687581255622,-177.59673091752674,-188.23982908322157
253.6,0.1,23.963790566369266,12.027138074040964,0.0,-12.106851402948376,-24.282779751257923,-48.805459350719346,-73.50853979814006,-98.3506161903099,-123.30311068991911,-148.34602032050987,-173.46506035692488,-186.04975225489534,-198.64978899384232,-211.264263101208,-223.89238452231976
253.8,0.1,15.285930741435095,7.894697587551542,0.0,-8.218482454594731,-16.655452766240394,-33.94802675164935,-51.58480625277004,-69.4312186245521,-87.41898033109894,-105.51059983976708,-123.68406297336278,-132.79698124598312,-141.92562848382576,-151.0689865060286,-160.22620487158196
254.0,0.1,17.131216641995493,8.799680887003168,0.0,-9.11729795996004,-18.46018084979618,-37.60609728049653,-57.15939843933606,-76.98215688437982,-96.99882594446174,-117.16458050093784,-137.45098194057059,-147.63320314171193,-157.83891798547597,-168.0665832652896,-178.3148721589852
